"<ID|readonly|
"hud/TWS search";"TWS";;
"hud/TWS acquisition";"PD ACQ";;
"hud/TWS ACM";"PD ACM";;
"hud/TWS BST";"PD BST";;
"hud/TWS VSL";"PD VSL";;
"hud/TWS track";"PD STT";;
"hud/TWS HDN standby";"TWS HDN STDBY";;
"hud/TWS HDN search";"TWS HDN";;
"hud/TWS HDN acquisition";"PD HDN ACQ";;
"hud/TWS HDN ACM";"PD HDN ACM";;
"hud/TWS HDN BST";"PD HDN BST";;
"hud/TWS HDN VSL";"PD HDN VSL";;
"hud/TWS HDN track";"PD HDN STT";;
"hud/TWS GTM standby";"GMTI TWS STDBY";";
"hud/TWS GTM search";"GMTI TWS";;
"hud/TWS GTM acquisition";"GMTI ACQ";;
"hud/TWS GTM ACM";"GMTI ACM";;
"hud/TWS GTM BST";"GMTI BST";;
"hud/TWS GTM VSL";"GMTI VSL";;
"hud/TWS GTM track";"GMTI STT";;
"hud/TWS SEA standby";"SEA TWS STDBY";;
"hud/TWS SEA search";"SEA TWS";;
"hud/TWS SEA acquisition";"SEA ACQ";;
"hud/TWS SEA ACM";"SEA ACM";;
"hud/TWS SEA BST";"SEA BST";;
"hud/TWS SEA VSL";"SEA VSL";;
"hud/TWS SEA track";"SEA STT";;
"hud/IRST standby";"IRST STDBY";;
"hud/IRST search";"SRC IR";;
"hud/IRST acquisition";"ACQ IR";;
"hud/IRST ACM";"ACM IR";;
"hud/IRST HMD";"HMS IR";;
"hud/IRST track";"STT IR";;
"hud/air_search";"A-A";;
"hud/ground_search";"A-G";;
"hud/track memory";"STT MEM";;
"hud/single prop";"PROP";;
"hud/multi prop";"MULTIPROP";;
"hud/single jet";"JET";;
"hud/multi jet";"MULTIJET";;
"hud/helicopter";"HELI";;
"hud/rocket";"ROCKET";;
"hud/small";"SMALL";;
"hud/medium";"MEDIUM";;
"hud/large";"LARGE";;
"hud/mig_15";"MiG-15";;
"hud/yak_38";"Yak-38";;
"hud/yak_141";"Yak-141";;
"hud/su_17";"Su-17";;
"hud/su_24";"Su-24";;
"hud/su_25";"Su-25";;
"hud/su_27";"Su-27";;
"hud/mig_21";"MiG-21";;
"hud/mig_23";"MiG-23";;
"hud/mig_29";"MiG-29";;
"hud/f_4";"F-4";;
"hud/f_5";"F-5";;
"hud/a_7";"A-7";;
"hud/f_8";"F-8";;
"hud/a_10";"A-10";;
"hud/f_104";"F-104";;
"hud/f_105";"F-105";;
"hud/f_111";"F-111";;
"hud/f_14";"F-14";;
"hud/f_15";"F-15";;
"hud/f_16";"F-16";;
"hud/f_18";"F-18";;
"hud/f_20";"F-20";;
"hud/harrier";"Harrier";;
"hud/jaguar";"Jaguar";;
"hud/tornado";"Tornado";;
"hud/buccanier";"Buccaneer";;
"hud/typhoon";"Typhoon";;
"hud/q_5";"Q-5";;
"hud/jh_7";"JH-7";;
"hud/j_8";"J-8";;
"hud/j_10";"J-10";;
"hud/jf_17";"JF-17";;
"hud/amx";"AMX";;
"hud/mirage_f1";"Mirage F1";;
"hud/mirage_3";"Mirage 3";;
"hud/mirage_2000";"Mirage 2000";;
"hud/mirage_4000";"Mirage 4000";;
"hud/rafale";"Rafale";;
"hud/draken";"J35 Draken";;
"hud/viggen";"J37 Viggen";;
"hud/gripen";"J39 Gripen";;
"hud/iog";"IOG";;
"hud/iog_dl";"IOG+DL";;
"hud/commanderViewAimMode";"AIM MODE";;
"hud/autoTargetTracking";"ATT";;
"HUD/TXT_AGM_SHORT";"AGM";;
"HUD/TXT_AGM_STANDBY";"AGM";;
"HUD/TXT_AGM_WARM_UP";"AGM PWR";;
"HUD/TXT_AGM_LOCK";"AGM ACQ";;
"HUD/TXT_AGM_TRACK";"AGM TRACK";;
"HUD/TXT_AGM_TRACK_POINT";"AGM POINT";;
"HUD/TXT_AGM_LOCK_AFTER_LAUNCH";"AGM";;
"HUD/TXT_AAM_SHORT";"AAM";;
"HUD/TXT_AAM_STANDBY";"AAM";;
"HUD/TXT_AAM_WARM_UP";"AAM PWR";;
"HUD/TXT_AAM_LOCK";"AAM ACQ";;
"HUD/TXT_AAM_TRACK";"AAM TRACK";;
"HUD/TXT_AAM_LOCK_AFTER_LAUNCH";"AAM";;
"HUD/TXT_GUIDED_BOMBS_SHORT";"GBU";;
"HUD/TXT_GUIDED_BOMBS_STANDBY";"GBU";;
"HUD/TXT_GUIDED_BOMBS_WARM_UP";"GBU PWR";;
"HUD/TXT_GUIDED_BOMBS_LOCK";"GBU ACQ";;
"HUD/TXT_GUIDED_BOMBS_TRACK";"GBU TRACK";;
"HUD/TXT_GUIDED_BOMBS_POINT_TRACK";"GBU POINT";;
"HUD/TXT_GUIDED_BOMBS_LOCK_AFTER_LAUNCH";"GBU";;
"hints/penalty_time";"Penalty time +{timeSec} sec.";;
"hints/bonus_time";"Bonus time {timeSec} sec.";;
"HUD/WEAPON_MODE_CCIP";"CCIP";;
"HUD/WEAPON_MODE_CCRP";"CCRP";;
"HUD/WEAPON_MODE_CCIP_CCRP";"CCIP/CCRP";;
"HUD/TXT_WEAPON_MODE_AUTO";"AUTO";;
"HUD/TXT_WEAPON_MODE_GYRO";"GYRO";;
"HUD/WEAPON_MODE_AUTO";"AUTO";;
"HUD/WEAPON_MODE_AUTO/CCIP";"AUTO/CCIP";;
"HUD/WEAPON_MODE_GYRO";"GYRO";;
"HUD/TXT_STANDBY";"STDBY";;"
"HUD/TXT_WARM_UP";"PWR";;
"HUD/TXT_LOCK";"ACQ";;
"HUD/TXT_TRACK";"TRACK";;
"HUD/TXT_TRACK_POINT";"POINT";;
"HUD/TXT_NO_LOCK_AFTER_LAUNCH";"BLKD";;
"HUD/TXT_LOCK_AFTER_LAUNCH";"READY";;
"HUD/BAY_DOOR_IS_OPEN_INDICATION";"(OPEN)";;
"HUD/BAY_DOOR_IS_CLOSED_INDICATION";"(CLSD)";;
"HUD/BAY_DOOR_IS_OPENING_INDICATION";"(OPNG)";;
"HUD/BAY_DOOR_IS_CLOSING_INDICATION";"(CLSNG)";;
